,comments
14344,기억 안난데 ㅋㅋㅋ
14345,효린은 딱봐도 일진처럼 생겼드라 ㅋㅋ
14346,시스타는 데뷔 할때 부터 학폭 가해자들로 말 많았었는데 조용히 묻히더니 결국 터졌네 효린 말고 더 있었던 기억이 나는데
14347,왠지 무영각으로 했을 거 같다.
14348,효린은 데뷔때부터 시끌시끌하지않았나요? 시스타 데뷔때 멤버 대부분에게 학폭당했다는 피해자들 많이있었는데 어느순간 조용하더라구요. 이번만큼은 어떻게 될지 궁금하네요
14349,이거 10개월전 영상인디 갑자기 뜨네 ㄷ
14350,나중에 나이쳐먹고 꽉막혀서 꼰대질하는 아줌마중 1인이 효린일듯ㅋㅋㅋㅋㅋㅋㅋ
14351,지금 봐도 효린 역겹다
14352,ㅋㅋㅋㅋㅋ기억이 없다니 말도 안된다 다 기억하면서ㅎㅎㅎ
14353,헐 잔나비는 처음 알았네
14354,맨날 기억안난다 하네 사람들은 역시
14355,효린이 뿐만 아니라 가해자들은 무덤까지 죄책감에 시달리고 벌 받아야한다
14356,관상 이즈 싸이언쓰
14357,유튜브 무서운줄 알아야지.. 너희들 지금이라도 무릅 꿇고 사과하고 방송에 나오지마라..자라나는 아이들에게도 나쁜짓하면 나중에라도 벌받는다는 교훈을 줘야한다.
14358,정말 학폭은 사라져야 합니다
14359,피해자들에겐 약간 미안한데 너희도 인정해야하는 부분이<br>이 세상은 약육강식이라서 약하면 잡아먹히는게 당연한거야<br>세상의 섭리란다 강해져라 아가드라
14360,학창시절 안좋은 기억은 평생간다!~~~~<br>아니땐 굴뚝에 연기나랴!!!<br>착한척 아무렇치도 않은척 가면쓰고 나오는것들 보면<br>이젠 증말이지 역겹따!!!<br>을마나 괴롭혔음 지금까지도 그걸못잊고 말을할까....😭<br>싸납게 생겨가지고 목소리는 허스키한게 좀크냐고!<br>오죽했음 을마나 억울했음 이제와서 말을할까....<br>에라이~~ 꼴보기도 싫타!<br>원래 관심도없었지만....ㅉㅉ
14361,피해자분 효린 데뷔하자마자 폭로하시지. 너무 마음이 여리셨네.
14362,그피해자 주장한애가 과거에 학폭했고 자기과거나오니 글삭제함 저사람밖에 안나옴
14363,"사람이 있잖아... 저렇게 소중한 추억이 될 수 있었던 인생을 가장 끔찍한 기억으로 뒤바꿔 놓고도 잘못을 깨달을 인격조차 갖지 못해 지 잘났다고 지 좆대로 아주 신나게 살다가 언젠가 예기치 못한 때에 갑작스럽게 심판을 받는게 이 세상의 이치더라. <br><br>그러니 어른들에게 말해주고 싶은건,  자식을 낳았으면 다른건 몰라도 있잖아, 자식이 스스로 설 수 있는 힘이 길러질 때까지는 혼신의 힘으로 길러주고 지켜주되 저런 악마같은 인간을 만났을때 맞는 것도 한두번이지 말이야, 어떻게 대처해야 하는지를 제발 똑바로 좀 교육하고 가르쳐주고 그걸 하는게 어른들의 당연한 임무고 책임이라는걸 잊지 말아줬음해.<br><br>그래야 피해자도 가해자도 되지 않을 수 있고, 특히, 맞벌이 하시는 부모님들, 아이들은요, 절대, 낳아놨다고 알아서 크지 않아요. 돈벌어서 가정 생활 유지 하는 것도 중요하지만, 가정안에서 아이들에게 무슨일이 일어나고 있는지, 혹시나 내 아이가 표정이 안좋다던가, 말이 없어졌다던가, 갑자기 신경질을 낸다던가 이런 행동을 그냥 넘기지 마세요. 오빠가 날 때렸어라는 한마디를, 원래 다 그렇게 싸우면서 크는거야~라는 무지와 잘못된 고정관념때문에 10년이라는 새월에 보호받지 못한채 맞기만 하는 아이를 방치하다면, 그 댓가는 당신이 늙었을때 훗날 인생을 편히 즐기고 싶을 그때에 찾아올 것입니다. <br><br>그러니, 1차 가해자는 저런 가해자를 키운 부모입니다. 가장 큰 잘못이 있습니다. 2차 가해자는 피해자의 고통을 알아채지 못한 피해자의 부모입니다. 3차 가해자는 학교 선생들입니다. 4차 가해자는 피해자를 직접 폭행한 가해자 입니다. 단순히 직접적 가해를 입힌 자만이 가해자가 아닙니다. 잠재적 가해자를 만들고 잠재적 피해자를 만들었던 부모와 학교는 더 큰 가해자 입니다. <br><br>그러니 부모 교육은 아무리 입아프게 강조해도 지나치지 않습니다. 부모가 된다는 것은 단순히 사랑하는 나의 아기를 잉태한다는 것에 대한 낭만이 아닙니다. <br><br>부모로서 먼저는 자기 자신을 돌아보고 자기 자신을 사랑해줄줄 알고, 지식으로 무장하고, 실천으로 옮길 때 자녀는 안전하게 보호받을 수 있습니다. <br><br>저는 10년간 친오빠에게 극심한 폭언과 폭행을 당했고 그것을 극복하느라 10년이 걸렸고 지금은 심리상담치료를 받고 있습니다.<br><br>누구든지 이 댓글을 보신다면 가해자를 욕할 시간에 자기 자신을 돌아보시기 바랍니다. <br><br>나는 진짜로 내 자식의 마음을 알고있는지<br>나는 부모로서의 준비가 되었는지<br>나는 나를 진심으로 아껴주는지<br>나는 내 부모로부터 받은 상처를 자녀에게 되물림 하지 않기위해  어떻게 할 것인지 말입니다. <br><br>이 땅의 모든 부모와 자녀들이 행복했으면 좋겠습니다."
14364,효린이 모습 좀 무섭더라.어쩐지 느낌에 학교다닐때 친구들 대장은 무조건 했겠더라는 생각이 든다.
14365,대장인데 왜 저사람밖에 없을까요 글쓴이 자기과거나오니 글삭제했던데
14366,관상은 과학임
14367,다 업보임 <br>발목 한번 잡혀봐야지
14368,유영현은 그래도 인정하고 잘못이라도 빌지 효린은 뭐냐 ㅋㅋㅋ
14369,잘나갈때 조졌어야지~
14370,저걸 왜 이제 폭로해!?
14371,일년도 아니고 3년씩이나 지속적으로 친구를 괴롭혔네.그러고도 어떻게 낯짝을 들고 뻔뻔하게 TV에 나와서 웃고 노래하고 춤추고 하지?부끄러움을 모르나?이런자는 연예계 퇴출되야지.
14372,저거 효린 실화임?
14373,피해자주장이 과거에 학폭한애고 자기과거나오니 글삭제함 네이트차단당했다 자기글삭제당했다는데 네이트는 차단한적없고 작성자가 글지워다함 자기과거나오니 글지운것 피해자과거증언글 사진도 있는데 기거에 효린언급없어고 피해자주장글만 있어요 잔나비멤버 학폭터지니 혹시나해서 글썼다함 사람들은 이런 내용모름
14374,뿌린대로 거두는겨~
14375,사실이면<br>정말 양심도 없는 인간이네
14376,선한 인상은 아니다. 만약 사실이라면 효린 나오지 말아라. 폭행적이고 기억 안난다고 거짓말하고 인성이 빵이다.
14377,효린좋아했는데 아쉽네ㅠㅠ
14378,근데 왜하필 15년이나지나서야 밝혔을까<br>그래도 지금이라도 밝혀서 그분이 후련해지셨으면좋겠네아ㅠ 저도 고등학교때 피해자였는데ㅠ<br>힘내세요
14379,돈주러가냐?
14380,진짜 나 괴롭히던 애가 티비 나와서 잘 되는 꼴을 누가 보냐.. 다 자기업보다
14381,"난 가장 신기한건  씨쓰타 해체하고 스타쉽 나오자마자 터진거.여기서 약간 스타쉽 관리보인다고 생각함. 스타쉽 소속일때 그냥 루머로돌리고, 소속사 옮기자마자 기사화...나만 무섭나?스타쉽 ㅈㄴ대단해 자기네들 그냥 손바닥 안이라는거자나."
14382,효린년 요즘 머하냐 역겨운년
14383,예측할만 년이야
14384,니네 이거 모르는거 같은데 아는선배가 효린 학교 다녔는데 효린 인천 대걸레임 ㅋㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋ ㄹㅇ 팩트
14385,나이스 알고리즘
14386,"저도 중학교 때 같은 반이었던 애한테 학폭을 당했는데 고2로 올라오니 학폭 가해자랑 같은 반이네요 또 그 애가 가식떨고, 인맥관리하면서 반 아이들이랑 같이 저를 또 괴롭힐까봐 무섭네요...코로나 때문에 다행이라 해야할지 아니라고 해야할지...ㅎ"
14387,인상이 싸가지가 바가지 같더라  <br>연예인 대부분이 저런애들 아니겠나
14388,확실히 아니라고 말못하는건 인정한다는 것
14389,잔나비 걔는 탈퇴했는데 효린은 뭐임
14390,인자 가수생활 끝~
14391,"<a href=""https://www.youtube.com/watch?v=fEHT8HkCt3I&amp;t=0m49s"">0:49</a> 가해자는 기억 못하고 피해자는 기억하는ㅋㅋㅋ"
14392,효린은 요즘 이 사건에 대해서 느슨해지는데 안 되지.
14393,3년을괴롭혓는데 기억이 안날수가없고<br>진짜 기억이안난다면 1~2명이 아니란거다<br>그냥 사실대로고백해 거짓말은<br>거짓말을 낳는다
14394,@perfect 댓글마다 커버치고 다니네
14395,@로로라 피해자들 아니라고요 그사람이 자기 과거나오니까 글지워다고요
14396,왕따 피해자들은 그 괴롭힘이 얼마나 지옥같은지...효린너는.짐작도 못하지??
14397,과거가 깨끗해야 연예인하는거임
14398,데뷔할 때도 말 많았는데
14399,전에보니 이런거 사실적시로 오히려 맥이던데 ㅋㅋ 세상참
14400,관상은 과학
14401,원래 말한 사람은 기억 못하는 법이지 피해자한텐 평생 잊지못할 아픈 기억일텐데 기억이 잘 안난다라 ㅋ ㅋ ㅋ ㄴ
14402,좋았했던 만큼 실망도.크네요
14403,자기가 때리고 기억이안난다라 ㅋㅋ
14404,정의의 알고리즘!!
14405,시력검사냐..! 뭐가 선명하지 못해? ㅋㅋㅋ
14406,효린때매 씨스타 좋아했는데 먹칠하네 으휴
14407,언젠가 죗값 다 되돌려 받을 거야
14408,어떤 폭력이든 피해자는 가해자 별로 안만나고싶어합니다. 만나서 해결해간다는건 피해자심정을 고려하고 하는소린지 참
14409,고통을고스란히 느끼며 참회하며살아라 죗값톡톡히 치루고
14410,효린이가 진짜 잘못했지만<br>효린이가 가수로서 너무도 실력있는건 사실이다..
14411,관상은 ㄹㅇ 화떡 성괴 아닌이상 거짓말 안하는것같다 인생살아온흔적
14412,아 내가 연예인 및 유명해지지 않는 이유가 이런거지 후..  됬으면 큰일 날뻔했다 휴..
14413,사실이니까 생각이 안난다는거겠지.
14414,저저 쳐돌았나 완전 돌았삣네예 이 연예인들이 문젭니더
14415,이세상에서 잘못은 이세상에서 용서구하고 끝냅시다..지옥까지 끌고가지 말고..
14416,왜은퇴안하고 아직도 활동하는거임??
14417,어차피 시스타 접었고 꿀빨거다빨앟고<br>효린이는 상관없제 이제ㅋㅋㅋㅋ
14418,생긴거 부터 놀게 생겼던데
14419,이젠 음주운전이 아니고 학폭가해자라고<br>방송 못나오네ㅋㅋㄱㄱㄱ ㄱㄱ<br>세상 잘 돌아가네ㄲㄱ ㄱㄱ ㄱㅋ<br>나대고 공부안한 년놈들이 다 연옌하지ㅋㅋㄱㅋ
14420,유튜브 일 잘하네 ㅋㅋ
14421,참 그래도 효린은 리즈 다 지나고 터졌으니 감사해야지
14422,친구돈 삥뜯은놈 잔나비들 다시 활동하고있다
14423,유툽 알고리즘 어쩔땐 좋네 이런사건도 알 수 있고...
14424,효린 그렇게 생겼지.재수없고 춤추는것도 징그러워
14425,안녕? 강호순김길태유영철조두순 부류?
14426,거의 설리 악플급인데? 이건 거의 뭐 살인마 수준아니냐
14427,만나서 팰려구
14428,ㅋㅋㅋㅋㅋㅋ킹고리즘 ㄹㅇ
14429,15년전에 일을 기억못한다면 벌써 치매가 왔나 ㅁㅊㄴ
14430,근데 ㄹㅇ 때린 사람은 때린거 잘 기억 못함 나 어릴때 엄마한테 ㅈㄴ 맞으면서 컸는데 엄마 한테 내가 어릴때 엄마 한테 맞으면서 커서 맷집이 좋다 이런말 하면 내가 니를 얼마나 귀하게 키웠는데 때린적 거의 없다고 함 하지만 난 <br>아직도 기억난다 어릴때 형이랑 닭싸움 하다가 넘어지려고 해서 순간적으로 뭘 잡는다고 잡은게 TV였는데 나랑 같이 넘어지면서 TV 액정이라 해야하나 그거 다 박살 나고 엄마 극대노 해서 유리 치우러 온 빗자루로 ㅈㄴ맞음 그리고 무릎 꿇고 벌서고 덕분에 아날로그 에서 디지털로 TV가 바꼈지만 그때 맞은건 잊지를 못해....
14431,효린 털털하고 성격 좋은 줄 알았는데 실망했음
14432,ㅋㅋ 효린이  모하냐 ㅋㅋ
14433,"왕따는 까지는 아니지만 초딩 때 한 애가 유독 날 괴롭혔는데 그 애 이름, 다니는 태권도장, 집 다 기억하고 있음 그니깐 걔도 막 유명해지면 다 퍼트릴거임 왜 괴롭히냐고 했는데 피부가 까매서, 한국인 아닌데 한국인인 척 한다고 해서.(혼혈이라 피부가 까맸어요,,, 그 때 초등학교 저학년이라 트라우마?라고 해야되나 친구 사귀는게 어려워지고 성격이 어두워 졌음)"
14434,난 진짜로 학교폭력가해자들이 잘되가는걸 보기 싫다..
14435,효린 학폭 피해자가 좀 일찍 터뜨려줬으면 좋았을텐데... 씨스타 활동 다 끝나고 터뜨려서 좀 아쉽네요.
14436,피해 준 사람은 아무렇지 않네 항상 꼭 돌려받았으면 좋겠음
14437,3년이면 진짜 징하게 긴 시간이네 어떻게 이런짓을 할 수가 있지 완전 깬다 뭐 얼굴보고 별 환상도 없지만
14438,근데 스타쉽 원래 저런 학폭논란나면 잠수타다가 피해자한테 고소장만 날리지않나 ..?
14439,효린 생긴거하고 한짓하고 야마가 맞아 돌아가넼ㅋㅋㅋ
14440,15년전이니까 당연히 기억이 선명하지 않겠지ㅋ 근데 기억이 선명하지 않다는건<br>어쨌든 학교폭력했던 기억이 있긴 있단거잖아 더러운것 ㅉ
14441,다 알고있던거 아니였어? 데뷔했을때부터 말 많았는데 왜 이제와서....
14442,역겹다 효린이 폭행했다느게 그걷도 3년인나
14443,티비나와서 잘되는거 보면 진짜 마음이 뒤숭숭할듯 나괴롭히고 잘살고있고 나는 그렇지 못할땐 ㅠ에구 학교폭력 가해자보다 피해자는 평생가요
14444,진짜 모든건.<br>겪어봐야 아는구나 좋은사람같다고 함부로 좋은사람이라고 판단하지말고 나쁜사람같다고 함부로 나쁜사람이라고 판단하면 안된다 언젠가는 큰코다친다
14445,자기가 지은죄는 결국 자기한테 돌아온다
14446,효린 꼴보기싫었는데 방송에서 자꾸 잘한다며 띄어주는 거 이상했음 기분 쎄 하더라니..ㅉㅉ
14447,이거 왜뜸?ㅋㅋ
14448,잘했네 이젠 매장될 일만 남은건가??? 사실이라면 언능가서 사죄하고 싹싹빌고 연예활동 하시길 그게 젤 현명한 선택일듯
14449,원래는 당한사람만 ㄱ하지
14450,관상은 과학
14451,역시 범상치않은 카리스마가!!
14452,근데 저 글이 사실이라는 증거가있음?? 자작이면 어쩔려고 다들 욕하는거??ㅋㅋㅋㅋ 우리나라 사람들 멍청한 사람 되게 많구나.. 겨우 글하나로 선동 잘되네 ㅎㅎ
14453,고1때 한걸로 일 이제 못함? ㅋㅋ 미친
14454,기사내용보니까 그냥 저 폭로글뿐인거아님?? 아직 중립기어박아야할거같은데..
14455,T.K 하우스 효린이 저 당시 피해자분 만나서 사과하고 싶다고 그랬어요 직접 만나고싶어 했으니 인정한 꼴임
14456,효린 요새 티비에 안나오던데 진짠가보네
14457,피해자년 사기쳤습니다 제가 아는분들께부탁했어조사해보니까. 피해자년. 거짓말 밥먹듯 하고 넷카마짓하고다니고등등 있음 믿지마세요
14458,어쩐지 생긴것부터가 정이 안가더라
14459,예전에 아이돌에게 다가온 팬이 그래지<br>&quot;우리 언니 왜 때렸어요&quot;<br>근데 그 내용은 다 잊혀졌지<br>연예계는 장자연 이전부터 더러웠던 거란다
14460,남의가슴에 못박고 잘 살줄알았나???
14461,아니. 지금 이시기에 이게 추천영상으로 왜 나와
14462,언프에서 jyp짤린이유가 이건가??
14463,아니에요 진짜면 아무리 엠넷인데 대놓고 그때 촬영끝나고 유빈과 서로 인스타맞팔했어요 갓세븐앨범 피처링했고 제와피 효린스타쉽소개해줘고  피해자주장 자기과거나오니 글삭제했고 피해자주장 저사람밖에 없음
14464,효린 관상 봐라 .. 걍 딱 일진 그자체
14465,효린은 맞지않나 ? 인천사람은 암묵적으로 다아는데 효린.. 인화여중 출신...
14466,저렇게 놀아는데 한사람뿐이라고?그것도 피해자주장 학폭한애데
14467,어찌 생긴거 부터가 ..
14468,티비에 안나왓으면 좋겟다
14469,쎄보여서 오해 했었는데 역시 센언니 였군요ㅠ
14470,선동은 말 한마디면 된다. <br>그러나 해명하려면 수십 수백가지의 증거자료가 필요하다.<br>그 증거자료를 가져오거나 해명할 증거자료가 남아있지 않다면 다른사람들은 이미 선동당해있다.
14471,피해자가 그애하나가 아니겠지
14472,과거에 학폭가해자밖에 없어요 자기과거나오니 글삭제하고 네이트도 차단한적없다하고 차단당해는데 계속 글씀
14473,연예인되고 싶냐? 행동거지부터 잘해라 너거의 과거는 누군가의 증거로  남아서 살아간다 대중은 엄중하다 근데 ㅅㅂ끈 관상은 진짜 못속이네;
14474,진술만 있을뿐 증거 ㅇㄷ
14475,티아라
14476,25년전에 싸운것도 기억이 나...
14477,효린 x파일내용이 진짜였구나
14478,"저게 사실인지 아닌지 아직 모르는데 저렇게 말해도 되나... 효린 , 잔나비 멤버 입장도 들어봐야할텐데"
14479,씨스타 보라빼고 셋다 일진설 꾸준히 있었음
14480,씨스타 데뷔했을때부터 학교폭력 말 많았음. 보라빼고 다 논란있었던걸로 기억하는데 너무 넘사벽 실력이었던거나 노래가 좋아서 묻히고 쭉 활동함...
14481,효린이 생각보다 나이가 많네요.<br>20초반인줄 알았어요.
14482,나도30살인데 중3때 왕따당해서 쳐맞은거 아직두 기억나는데. 27살때인가 동창회때 어떤애가 있었는데 때리진않고 조금 괴롭혔던 동창생 만나서 술먹으면서 니때메 학교나오기 싫었다고 술기운에 울면서 말했는데 자긴 몰랏다고 그냥 .. 결국은 사과하고 지금은 베프됨
14483,효린은 유명했지 우리 학교 사람들 효린 모르는 사람 없었음 물론 나쁜쪽으로
14484,역시 효린
14485,인상이 그러하듯 딱 팔자쌔게보이고<br>주접떨고 쌕시한척 오지드니<br>느그 과거사가 지저분했구나<br>왜 애들 때리고 다녔니...<br>그건 미성년자라지만 그때에 니 인성이 <br>말해주는것  세살버릇 여든까지 간다!<br>사람은 고쳐쓰는게 아니다!<br>고로 앞으로 나도 티비나와 쨉싸리 까고<br>춤 발광하고 이쁜척하는 니를 보고싶지 않다 빠이
14486,역겹다 정말
14487,얼마나 학폭을 많이 했으면 누군지도 기억이 안 나냐...
14488,효린 기억 안날리가 없음 그리고 당한사람은 평생.
14489,그당한사람이 학폭가해자 증언사진글도 있고 거기에 효린글은 없어고 자기과거 나오니 글삭제 피해자주장은 저사람뿐
14490,헐...
14491,아니 왜 영상은 10개월 전인데 댓은 4~6일 전 껀데 알고리즘 추천 시간 개념 없어
14492,기억 안난다잖아   하도 많아서  ㅋㅋ
14493,그럼 빨리 말하던가 묵혀두고 끙끙거리다 15년뒤 말하지말고 그당시 용기내서 말하던가 좀 맞고 겁먹어서 숨으면 누가 해결해줘? 멈추고싶으면 직접하는거야 1번으로 안되면 2번하고 계속말하라고
14494,그럴거 같이 생김. 심술이 인상에 덕지덕지 뭍어남.
14495,기억안난다=많은 애들을 때려서 누군지 모르겠다=다양한 방식으로 때려서 어떻게 때렸는지 생각 조차 안남=효린이 가해자가 맞다.<br>효린아 너가 그렇게 말한것은 니꼬리 니가 무는거란다.사과해라.그리고 연예계 그만 둬라.
14496,기억안난다는게 너 못됐어 ..
14497,시스타데뷔때부터 특히 다솜 효린 일찐논란으로 난리였는데 노래좋으니까 묻히더라
14498,15년전이 기억이안나는거면 피해자는 기억을 만들어낸거냐?
14499,나한테 걸렸음 남자만봐도 똥오줌 질질 지리게 만들어줄텐데
14500,이제와서? 씨스타 할거다했는데
14501,후덜덜한건 효린피해자도 일진이었음~
14502,제니도 논란 있던데...소속사에서 입장표명 해줬으면
14503,알고도 좋아했으면서 별ㅋㅋㅋㅋㅋ 폭로된지가 언젠데
14504,효린 생긴것도 먼가 못된짓 잘하게 생김 그리고 피해자 만나면 뭐하려고 또 때리게? ㅋㅋ
14505,@perfect ㄴㄱㅁ
14506,그피해자주장이 학폭한애고 자기과거나오니 글삭제했고 글쓴이 증언글에 효린없어고 피해자주장 저사람뿐이고 학폭이면 한사람만 안괴롭히지 피해자는 원래 안만나 만나는것 봤는지?근데 이사람만나고 효린고소취하했고 서로 일더 키우기싫다해서 그때 카톡없어고
14507,한지혜 ㅆㅇㅈ~~~~
14508,진짜라면 충격이다
14509,인성은 어쩔수없는거지 앞으로 화면에 나오면 짜증나겠네
14510,조금 찜찜하네 <br>기억이 잘 안난다? <br>이건 학교폭력을 은근히 인정하는말이 아닌가?  유치원때라면 기억안날만 하지만<br>중학생 시절인데 ㅋ 머라고 변명하질 궁금하넹
14511,관상은 과학인건가
14512,연예인이나 공인 아닌 학폭 가해자들은 어떻게 자기잘못 되돌려받나요
14513,나좀때려줭 ㅎㅎ
14514,그래수 효린은 처벌했고?
14515,효린.마귀할멈같애
14516,효린 연예계 퇴출되고 평생 죄책감에 시달릴지어다!
14517,효린 딱봐도 일진같이 생김
14518,이 동영상에 좋아요를 눌러 많은 사람이 볼 수 있게 해주세요
14519,괜히 저렇게 생긴게 아니다~ 정말 싼티가.줄줄 흐르게 생겼다했네~
14520,애초에 진짜 결백하면 기억이 나지 않는다고 하지 않고 적어도 그런 적 없다고 말하지 않을까
14521,15년전 기억이 안날리 없지 본인이 폭행한 기억이 없어진다는건 기억상실증에 걸리지 않는 이상 평생가는기억이야
14522,왜 만날려고? 소름
14523,재수없다 여태 해명한마디안하고 인스타엔 댓글못달게 바꾸고 셀까사진 잘올리고 잘삼 ㅋ
14524,아니 이게 지금 왜 떠
14525,효린은 그냥 딱봐도 와꾸가 그렇게 생겨먹었는데 뭐
14526,엥 이제서야??... 증거 있긴함??
14527,이것이 사실이라면 모든것을 내려놔야지...  사람이라면!
14528,자신이 친구에게 쏜 그 화살은 100년안에 그 친구가 뽑아서 다시 쏜 다더니 진짜였네
14529,원래 뿌린대로 거두는 거임.
14530,효린 이런 사람이 였어?
14531,근데 팩트체크 안된거면 일단 우린 가만히 있어야 하는거아니냐 로이킴때문에 함부로 이제는 못까겠다
14532,ㅎㄹ 딱봐도그래보였음 개싸가지
14533,일단 중립
14534,증거가 하나도 없이 그냥 주장했다는 뉴스에 이미 가해자 확정해서 공감이랍시고 열폭하는애들 수두룩하네 ....<br>능력보다 인성으로 평가하자는 니들 가식과 위선땜에 사회가 썩는단다....
14535,생긴게일진가테
14536,"가해자는 잊고싶겠지<br>피해자는 영혼 파괴,자존감 박살됨으로<br>잊혀지지 않는다.<br>그런데 제대로된 사과도 안하고<br>뻔뻔하고 당당하냐?"
14537,근데 효린 유명했잖음ㅋㅋ
14538,찡찡이?
14539,자기가 학교폭력을 절대 하지않았다면 기억을 더듬을 필요도 없다 이 일때문에 효린을 비롯해 학폭했던 연예인들을 싫어하게됬는데 효린같은 애들은 아직도 티비 나오고 멀쩡하게 활동하고 사람들한테 환호받는거 보면 거북함
14540,애들 잘패게생김
14541,묻힌사건이야?? 나 몰랐었어..유튭알고리즘이 한턱하네..이건 띄어야대 ㅜ
14542,잔나빈지 뭐시깽인지 드럽게 못생긴주재에....꼴갑지않네...
14543,폭력은 약한자들이 당하는것이다 <br><del>겐간 아수라</del>
14544,피해자 약한애아님
14545,난 그래서 씨스타 안좋아했음 중독성 있고 좋은 안무랑 노래였지만 다른 사람한테 의도적으로 상처준 사람은 절대 성공해서는 안된다고 생각함 철없던 시절이여서? 갸소리 말라그래 그 시절에 다 철없지 다른애들은 뭐 철있어서 가만히있었나
14546,효린아 멀리안나가마잘가 ~
14547,솔직히 연예인 아닌 일반인 학폭 가해자들 잘먹고 잘사는데 참 씁쓸하다
14548,"효린.. 그랬던겁니까. 어린나이여서 미성숙하니까 그랬겠지만, 성인이 된 지금은 학폭 피해자에게 진심어린 사과와 반성이 있어야겠네요."
14549,"난 어린이집, 유치원때 당한일도 기억난다... 그리고 난 내가 잘못한일도 웬만한건 기억하고 잊지 않는다 그사람들한테 미안해서라도."
14550,저기요 당신들은 기억이 하나도 안나겠지만 피해자는 하루만 당해도 그 기억 평생가요;; 트라우마도 있어서 후유증도 생기구요 가해자분들은 피해자의 정신적 피해에 더 영향이 가니 연예계활동을 하지 않아야되는게 당연하다봅니다.
14551,관상은 과학이다
14552,진짜 (효린한테)학폭당했으면 왜 이제와서 말하는거지 가짜같은데
14553,언니의 그 노래들을 정말 좋아했고 언니가 좋었어 근데 이제는 방송에 다시 나온다고 하면 좋은 눈으로는 바라볼 수 없을 것 같아 그 피해자는 엄청 큰 고통이였을 테니까 언니 덕분에 지나온 여름들은 정말 신났고 즐거웠어 아직 잊을 수는 없지만 시간이 지나면 조금은 잊혀져가겠지? 큰 반성을 하길 바래 자업자득이야 언니 행복했어
14554,피해자 약한애 아니에요
14555,인상도 그렇지만 보라랑 특히 다솜한테 하는 짓 보면 장난아니지ㅋㅋㅋㅋ 소유랑 쌍으로 아주 얼굴부터가 일찐ㅋㅋㅋㅋㅋㅋ
14556,아주 쌍으로 하는데 멤버들 아작도 만나는지 논란나도 왜 계속 만나냐고요
14557,유영현은... 그렇게 꿈같은 노래들 많이 만들어 놓고는 학폭하던 애엿던거 너무 충격임
14558,유튭 알고리즘 칭찬해
14559,글은 샐각만 잘하면 누구나 올리수있고 네이트주작 심하다 하면서 믿네 논란터질때도 마녀서냥하더니
14560,이유가있겠지 뜨니깐 어떻게든 끌어내리려고 글올린거보면ㅋ
14561,효린은 그 작성자도 문제 있었던 거 같은데
14562,학교폭력 가해자는 설령<br>학창시절엔 어찌저씨 넘어갔다 해도<br>사회에선 가차없이 냉정하고 엄한 사회적처벌이 있다는 걸 알아야 하고<br>법이 그 역할을 충분히 못 해 빠져나갈 구멍이 있어 용케 악마짓 하고도 웃으며 편히 살 수 있었다 해도 평생 가해자 라는 꼬리표가 따라다니며 사회에서 매장될 각오를<br>해야 하는 사회분위기가 만들어지길 바람.
14563,저도 그런 경험 있는데 그건 평생 잊혀지지 않죠.. 지금 나 괴롭히던 놈 만나면 반 죽여버리고 싶을 정도임... 학교때 당한 설움이 있어서 그 이후로 헬스장에서 몸 키우고 여러 운동 다 했음... 그걸로 인해 내성적이였던 성격이 조금 나아졌네요.;;..
14564,자신과 생각이 틀리다는 이유로 자신과 다르다는 이유로 자신이 옳다는 이유로 괴롭히고 차별하며 자신의 힘을 과시하고!! 그 피해자의 고통과 상처와 치욕을 눈에는 눈 이에는 이로 본인이 직접 겪어봐야지만 알수있다.
14565,효린 최근에 방송나온거보고  너무 불쾌했어요.
14566,"사람을 괴롭혀서 쾌락 얻었고, <br>하나님께 구원 얻는다고,다가 아니다.<br>현실적인 책임져라..<br>피해자는 평생가는 우울증이다."
14567,효린은 씨스타로 데뷔 했을 때 부터 논란 있었는데 이제야 뜨네 ㅋㅋ
14568,느낌이 품행제로 공효진하고 비슷하긴 함...ㅋㅋ
14569,더러운 학폭가해자
14570,효린이 나쁘네~~
14571,효린아 얼굴 인상이 보여준다 아닥하고 사라져라. 불결한년 에효
14572,알고리즘이 나에게 이 사건을 다시 상기 시켜주네 ㅋㅋㅋ<br>효린도 다시 이 영상 봤을까? ㅋ ㅋ
14573,애초에 이런일이 없었다면 억울해하지 않을까?<br>기억이 나지 않는다 했다는건 뭔가 있다는것<br>그치만 정확한 물증이 없으니 이제와서 어떻게 피해보상을 받지?
14574,연예계생활 하려년 멘탈이 장난 아니어야하는데 어렸을때 따돌림은 진짜 흔한일인것겉음
14575,돈이 최고야...
14576,생긴대로 사는구나... 뭔가 상스럽게 생겼다고 생각했는데... 하는짓거리가 저랬으니 얼굴이 상스러워 질수밖에...
14577,효린 사회매장 시켜라
14578,지금 시키고 있잖아 피해자가 자기과거나오니 글삭제했는데 오해갈등이라하고 자기친구도 맞아다는데 그친구는 아니라하고 이내용모르면서 마녀사냥하고 있잖아 잔나비멤버 학폭터지니 혹시나해서 글썼다하고
14579,ㅇㅇ 못생기고재능없어...ㅋ
14580,장근원이 호진이 기억못하는것과 같은 건가? 실망....
14581,이게 왜??지금 내 알고리즘에 뜨지??
14582,아 잔나비는 어벤져슨가요?
14583,어쩐지 싸 납 게  생겼더라니
