,0
10,근데 소영이 뭔가 당황한 기색 있다..처음에 애들이 할 때 막 알굴 일그러지고 당황한 얼굴이다가 내가 이걸 안하면 나도 그렇게 되겠지 이런 생각때문에 막 고마웡~ 이런거같음..
11,친구들이   너무   심해요  ㅠㅠ   신고할꺼야
12,안타깝게도 코 레이아에있는 학교에는 여전히 괴롭힘이 있습니다.
13,학교폭력 비디오 특징<br>1 일진들이 교복은 ㅈㄴ 정상적<br>2 현실과 엄청 동떨어져있는 선생과 학생들 인성<br>3 선생이 오히려 학교폭력 피해자를 어이없이 혼냄
14,저걸그냥 봐주네  나는  꿇게하면 바로 일어 날듯?
15,Ptsd걸리네 나도당한적잇어서
16,배로나 같애
17,김소현이였구나.. 넘나 예쁘다 우런니..
18,"<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=0m49s"">0:49</a> 서프라이즈! 하는 애 바스코 전부인 당시 애까지있었는데..진짜 동안이다 진짜 학생같아"
19,왕따하면 뭐가 좋지? 찐 개 노답인디
20,Gw indo sendiri
21,하 진짜 가해자들 진짜 진심으로 죽여버리고 싶다. 와... 진짜 저렇게 나쁜 애들이 있냐...
22,"<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=0m47s"">0:47</a>"
23,π¥π£{✓¥√π£$¥¥ππ
24,저건 드라마 라고.. 해도 정말 뿌리니까.. 이런건 안만들었슴좋갰다..
25,이은비는괴롭겠다
26,"<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=0m25s"">0:25</a>"
27,드라마 내용 기억 안 나서 김소현 케이크라 쳤는데 나오네
28,지네들이그레쓰면서 냄세나긴시방
29,Si
30,친구1:왕따짓 멈춰!<br>모든칭9들:멈춰!!!!!!!!!
31,왕따시키지 마세요 부모들이 보시면 얼마나 화나겠어요 ㅡㅡ
32,쇠맃ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ힝
33,아이 밀가루 아깝갱
34,"왕따 예방교육도 만들어야 한다...,폭력예방교육도 만들어야하고...,"
35,"when l first went to school , it was me 😭😭😭😭"
36,Hey guys someone knows hindi or english here
37,Cállese ala versh
38,@Sazgar Muhammad ooh
