,0
13321,???: 사과는 너를 패고 있는 사람이 아닌 니가 팬 사람에게 하는거야!!
13322,초반에 학생주임선생님 소리지르는거 너무 웃긴데 맛깔나게 잘하셔 ㅋㅋㅋㅋㅋ
13323,근데 다른 반은 수학 수업 어떻게 했을까 궁금하네 ㅋㅋㅋㅋㅋ 일주일동안 시청각 수업만 한건가
13324,그래도 같이 ㅈㄹ안하고 돌아온 친구 반기는 저런 친구가 있다니
13325,깡패 두목님 연기력 진짜 지린다;; 이렇게 어색할 수 가
13326,현실은 그렇지 않다는게<br>너무 슬프네요.
13327,현실우 바뀌는게 없는데 드라마 보면서 정신승리하는게 의미가 있나??
13328,@피터슨추종자 그럼 너 혼자 생각하면 되잖아
13329,@한지희 드라마에서 저런다고 현실에서 달라지는게 없는데 답답하니까 그러지
13330,@피터슨추종자 넌 의미가 없을지 몰라도 큰 의미인 사람이 있으니 말 가려서 해주세요
13331,@걍드가정신패배자가 아니라 현실승리자 ㅋ
13332,어 의미있어. 너는 정신패배해  앞으로  저렇게 돼야지 .😭  말하는대로
13333,저걸 다 해줬는데 340만원이면 개싸네 ㅋㅋㅋㅋㅋ
13334,표예진 연기 잘하네
13335,"표혜진이 하고 있는 역을 같은 멤버 왕따시키고 괴롭히던 이나은이 했으면 진짜 웃겼을 듯~ㅋ양심의 가책은 느끼고 있을까?아님 왕따,괴롭힘 폭로한 그 멤버에 이갈고 있을까?아마 후자겠지?"
13336,아 드라마라도 좋다 드라마라도 속이 다 시원하네.. 다신 안그런다고하면 뭐가 달라지니 가해자들아 피해자는 이미 다신 씻을수없는 상처를 받았는걸..
13337,아 울컥하네....
13338,그렇게 다 먹게 되고...
13339,김의성 나오자마자 기분 개잡치네 ㅋㅋ
13340,약간 웹툰 참교육이랑 비슷하네. 셤끝나고 몰아봐야지
13341,와 진짜 최고다
13342,오재미있네.  복수가 시원하지못하네. 고생하는것과. 창 회하는것이 추가되었으면하네요.<br>한번더. 학교폭력을 다루어서. 시원한결말을만들어주었으면합니다.<br><br>마지막에 말못하는 어머님에 모습에. 울컥 했습니니다
13343,와 재밌어보인다 보러그야징 근데어디서봐여?
13344,웨이브 오리지널입니다
13345,이쯤되면 가해자가 불쌍하네...혹시 장르가 판타지인가요
13346,학교폭력 있는지 감시하는<br>부서가 있다면 얼마나 좋을까
13347,저 여학생 이쁘게생겼다
13348,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=6m45s"">6:45</a>여기서 시리야 인식됨 ㅋㅋㅋㅋㅋㅋㅋㅋ"
13349,아이들도 문제지만 선생들도 문제 아닌가 ??  못본체한 선생들도 같이 처벌 받는것으로 결말을 했으면 좋았을것 같다.
13350,이제훈ㅁㅊ......... 존섹시 미쳤데이최현욱 역쓰레긴데 ㅈㄴ질생겼네.... 마지막 엄마나올때울었다...
13351,이제훈 진짜 연기 너무 잘해 ㅠㅠㅠㅠㅠㅠ😭💗<br>캐릭터가 너무 찰떡이야 ㅠㅠㅠ 이제훈배우님 흥해라 !!
13352,홍연: 무..무...문..예..차..안..?
13353,예찬이 변했어....
13354,"요즘 연예계에서도 학교폭력이 많이 이슈가 되었는데, 그때의 일을 지금 미안하다고만 하고 끊내는 경우가 있는거 같아서 마음이 아팠는데 드라마에서라도 학교폭력의 심각성을 일깨워주고 사이다로 시원하게 해결해주는것 같아서 보기 좋았다 ㅎ<br>학폭은 학교생활때의 어린애들의 약간의 반항이 아니라 학교라는 사회에서의 범죄에 해당된다"
13355,최현욱 배우 연기를 너무 잘해서 PTSD오네요
13356,여자선생님 웃낌ㅋㅋㅋㅋㅋ
13357,뻔한거라도 권선징악은 언제나 보기 좋지
13358,원래 이런 드라마 보면 첨엔 주인공이 당하다가 마지막에 사이다 나오는데 이건 첨부터 완전 사이다네 명드라마네
13359,ㄹㅇ사이다~ 완전 내 스타일~
13360,여기서 연기 어색한 사람 오로지 승태 삼촌뿐... 어이. 선.생.이.학.생.한.테. 돈이나 빌려달라고 하고 말이야!
13361,학폭가해자들은 쳐죽어도 쌈<br>명복따위 바라지도 마셈
13362,"그렇지 이렇게 속시원하게 대놓고 학생이고 뭐고 양아치 쓰레기들은 개쳐맞는게 리얼 사이다 드라마지 미성년자는 안때리는 드라마는 진짜 속이 답답했음 짜증나고 범죄에는 미성년자,여자 할거 없이 쳐맞는게 답임"
13363,어때! 선생님 잘했지?<br>라고 하는말 너무  웃겼다<br>학생들가지고 노는 기간제  다른선생님들보다 진짜 선생님답네
13364,집에  내부에 엘베가 있네 <br>와 ㄴㅏ  ㅎㅏ
13365,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=13m55s"">13:55</a> 약대동 CU 아님?? 울집 근처랑 너무 비슷한데??"
13366,이런회사 정말 차리고 싶네요
13367,와 이 드라마에서 이 짤 하나봤는데 입덕했다ㅋㅋㅋㅋㅋㅋ 오늘부터 정주행 시작합니다
13368,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=2m44s"">2:44</a> 누구지ㅠㅠㅠㅠㅠㅠ어디서 많이 봤는데 어느 드라마였더라??????"
13369,vip?
13370,현욱아 넌 유명해지면 안된다.<br>너가 여자애들한테 한짓 생각해봐라.<br>여친 갈아타면서 사귀는거 재밌었냐?<br>넌 유명해지면 누군가가 밝혀낼것이다.<br>그러니까 조용히 하고 살아라.
13371,진짜임?
13372,윙크 하는거 개 귀엽네
13373,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=21m43s"">21:43</a> 다음주에 시험인데 이제 알게된 정민... 그걸 담담하게 얘기하는 친구..."
13374,최현욱 개잘생겼네
13375,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=4m24s"">4:24</a><br>이렇게 반듯하게 믿음직스러운 얼굴을 내가 몰라보고!<br>몇 살 때부터 그렇게 믿음직스러웠어요↗ 그래ㅠ<br><br>아니 진지하게 보다가 학주쌤ㅋㅋㅋ"
13376,이 이드라마는 경찰쪽에서 봐야함 ㄹㅇ
13377,저렇게 평범하게 학창시절 보낼수있는데... 왜그렇게 악독하게 사람들을 괴롭히고 그럴까.. 꼭 선처없이 죄값받아라
13378,ㅠㅠ진짜 이런 사람들 있었음 좋겠다 눈물나
13379,이 영상 하나가 내 속을 아주 후련하게 해주네 ㅋㅋ
13380,좋은 드라마네요.
13381,진짜 사이다네요! 소년법이 폐지되어야 하는 이유!! 이제훈 배우님 화이팅입니다
13382,@제가 예쁘면구독해주세요 니가 누군데
13383,제가 예쁘면 구독 눌러주세요
13384,그와중에 승태 쿠키런하넼ㅋㅋㅋ 귀여운 녀석ㅋㅋㅋㅋ
13385,썸넬에 최현욱보고 들어왔다<br>최현욱 졸라 좋아.. 잘생겼어 아 이 드라마는 처음 봄
13386,낮과 밤이라는 김모 설현 나오는 드라마 처럼 감싸지 않고 버려서 다행이다 정주행해야지
13387,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=16m54s"">16:54</a> 호익 ㅋㅋㅋㅋㅋㅋ"
13388,ㅋㅋㅋㅋㅋ이 드라마 지린다ㅋㅋㅋㅋ사이다 굿
13389,다 봐줘놓고 뭘 안봐줘?
13390,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=18m57s"">18:57</a> 와 존멋 와 ....근데 정신차린 파수꾼 기태같음ㅋㅋㅋㅋㅋ"
13391,와 기태 느낌 확나네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ
13392,웹툰처럼 적나라하게 하지 뭔 감성팔이식.......................에효 한국드라마가 그렇지뭐...............
13393,원작은 진짜 너무 씹다크하더라 ㅋㅋㅋㅋㅋㅋ 보다가 암울해져서 잠깐 하차함 다시보긴 할건데... 그대로 드라마제작하는건 방통위에서 허가가 안날듯?
13394,최현욱 불쌍하면 안되는데 왜 불쌍하냐
13395,내용 재미네요
13396,사 이 다
13397,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=14m24s"">14:24</a> ,, 조폭아재들 연기 무슨일이고,,"
13398,ㄹㅇㅋㅋ
13399,이드라마 시그널이랑 비슷하면서 유쾌한면이 있어서 너무좋다 진짜
13400,박해영 경위님 시즌2나 찍어주십쇼
13401,저 예쁘면 구독눌러주세요
13402,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=14m28s"">14:28</a> 저 빡빡이 아저씨 연기 너무 못함...누가봐도 대본외우고 국어책마냥 따박따박 말해..."
13403,재밌었다. 저번에 첫편부터 얼떨결에 봤는데 너무 재밌었는데 다크히어로 시원하고 좋네요<br>그리고 이제훈 너무 연기 잘맞음^^
13404,이제훈  능청스레 엿먹이거 넘나 웃기고 시원함.  연기 대박이다 진짜. 아 근데 학주도 웃기고ㅋㅋㅋ 잘생기면 다야 진짜 ㅋㅋㅋ
13405,어우...깡패연기....ㅋㅋㅋㅋㅋ;;
13406,정말로  저런사람들이  있었음<br>좋겠다    이나라의 법이  진정한?<br>올바른 법이 되는 날이 왔음한다
13407,음악이 지렸다
13408,속이 뻥!!!
13409,유: 유정연<br>정: 정신차리고<br>연: 연애나해 이년아
13410,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=11m22s"">11:22</a><br>옆에 여자분 신예은님 닮았지 않아요?"
13411,난다....난다.... ㅈ찐 학폭의 냄새가 난다
13412,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=15m30s"">15:30</a> 스파르타!!"
13413,ㅋㅋㅋ 맞네
13414,개오글거리는 드라마네
13415,통쾌 상쾌 넘재밌어요
13416,흐아ㅏ 우리 예찬이ㅣ
13417,저새끼 남자 좋아하냐 ????? ㅋㅋㅋㅋㅋㅋㅋ
13418,생각해보니 이나은이 이런힘든사람 대신해서 복수해주는역활햇다면 소름돋네 현실은본인이 가해자자너
13419,시비조로 말하면 문제지만 그런게 아니라면 내가 한국어 쓰면서 기본적인 맞춤법도 모르고 있구나 하면서 부끄러워해야하는거 아닌가요?<br>그런거 공적인데에서 틀리면 되게 모자라단소리 듣습니다<br>알려주면 고맙게 받아들이면 될것이지 뭘 맞춤법 &#39;충&#39; 이러고있어;<br>근데 위엣놈들은 그지같이 말하긴 했네<br>역활도 소름이다..... ㅇㅈㄹ
13420,ㅋㅋㅋㅋㅋ 지도 찍으면서 조금은 찔렸을수도 에이틴도 그렇고
13421,이나은이 대본리딩 할 때 좀 찔렸을 듯 특히 4화..
13422,아는척하는 새끼들 소름이다 ㄷㄷㄷ
13423,이나은이 원래 이제훈이하는 역이었음? ㄷㄷ
13424,진짜 여기 이런주제가 주인데 이나은 나왔으면ㅋㅋㅋ.. 상상도 하기싫다 위선자 그자체
13425,와진짜 굳
13426,마지막에 눈물날뻔.
13427,빈센조 모범택시 넘 좋다
13428,사이다 드라마~~속 시원 합니다.<br>현 사회도 좀 변해라 제발!!!
13429,배로 갚아줌 ㅋㅋ
13430,너무 웃기다..<br>저런 놈들은 똑같이 당해야해..<br>속이 시원하다.
13431,아 진짜 시원시원한 사이다 영상이네요^^
13432,통쾌한복수~~감동이에요~~
13433,"학교폭력에 시달려서 내일아침에는 사라져 있겠지, 졸업하면 더이상 보지 않을 수 있겠지 라는 생각으로 초등학교 6학년 1년을 버텼는데 아직도 못 잊고 졸업앨범은 손도 못 댄다. 사실 몇년만 지나면 다 잊을 줄 알았는데 아직도 트라우마가 남아있다. 그애를 길가에서 마주쳤을 때 태연하게 나를 부르는 소리에 머리가 거매졌다. 난 죽을 때까지 못 잊지만 그 애들은 다 잊겠지. 제발 그 애들이 미래엔 더 심한 고통을 받길"
13434,와 나랑 똑같아 ㅋㅋㅋㅋㅋ
13435,괴롭히면 다 돌려받아요<br><br>지금 학생이신거 같은데 친구의 친구가 똑같은 괴롭힘  당하고 있다면 어떻게 도우실꺼예요?!  6학년때보다는 힘세진 지금의 모습으로 그때 아이를 도와주세요
13436,What&#39;s its name? Plsssss 🙏🙏🙏🙏
13437,이런건 청소년 교육자료로 써도 되겠다<br>지금 선생님들은 또 얼마나 많은 화를 참으며 살아가실지
13438,현실에서는 이렇지 안는 다는 것이 정말로 안타깝내요 ㅠㅠ
13439,표예진 존예
13440,어머니는 위대하다
13441,싸움씬 대역 보러 들어왔는데...
13442,현실엔 저런거없으니 멈춰! 를 사용하시면 됩니다
13443,xxx홀릭이라고... 어떤 가게가 있는데 원하는걸 말해 대가만 치뤄주면 이뤄주는 가게가있는 CLAMP 라는 일본 작가그룹의 작품이 떠오르네요. ㅎㅎ 모든지 공짜는 없죠. 택시가 지나가서 탈 수 없게되면 그 가게를 찾아가 봅시다. 아니면 인터넷 검색으로 어떤 소녀에게 부탁해 자신도 나중에 반드시 지옥으로 끌려가야 하는 경우를 감수하고서라도 소원을 말해봅시다.  사이다 작품 잘 봤습니다^^
13444,표예진 교복 장면 완전 찰떡이네.. 걍 학생이여
13445,현실엔 이럴일이 없음 만화나 영화 드라마에서나 볼법한 일이지 현실에서는 이런 사이다 볼수가없음
13446,와 사이다..
13447,너무 재밌어~<br>꼭들 보세요
13448,잘보고 가요~^^
13449,장제원 아들 노엘 ㅅㄲ좀 진짜 어떻게 안되냐
13450,진짜 이렇게 보면 이나은 많이 뻔뻔한거 같음<br>이 드라마 줄거리 알면서<br>지가 왕따 가해자이면서<br> 이 드라마를 당당히 연기했었다는게<br>제발 반성하길
13451,사적제재가 더 통쾌한게 이나라 수준 ㅋㅋㅋㅋ
13452,통쾌하네 ㅋㅋㅋㅋ 웃기고. 괴롭힘당하는 장면은 너무 자극적이라 꺼버렸는데 복수해주는건 재밌네
13453,진짜 나라법이 얼마나 개허접하면 진짜 저런드라마보고 쾌감을 느끼려나~<br>하긴 높으신양반들의 자제분들이 다 빠져나가라고 있는 법이니까 아마도<br>영원히 고쳐지긴 힘들겠지?~ㅉㅉㅉ
13454,최현욱 ㅈㄴ 잘생겼네 ㅋㅋ<br>근데 나는 왜 쌤이 사이코 같냐ㅋㅋ
13455,그냥 내 뇌피셜 로 댓글 써봅니다.일부기득권의 대국민 흡혈을 드라마나 보고 대리만족 하고 순응하며 살라고? 이런 생각으로 드라마 내보내는거면  큰 오산 이요.
13456,요새 공정 정의 평등이 무너진걸 보고 안타까웠는데참 스토리있게 응징하고 정의를 찾는거 같아서 즐겁게 또보고 또보고 있음 연기들도 훌륭하고 멋지네요
13457,"진짜 멋있다. 어렸을때 슈퍼맨이나 스파이더맨, 아이언맨보고 자기의 영웅이라 삼았던거처럼 이제훈도 이 드라마를 보고있는 어린새싹들한테 우상, 영웅일수있다. 바르게 살아온 배우가 저런 정의로운 캐릭터를 연기하는게 옳바르고 교육된다. 그리고 &#39;옆동네&#39;의 어느 &#39;키 184에 등빨있고 기럭지긴 잘생긴 신부&#39;와 호각으로 격투 겨뤄볼만한 실력 되겠다.."
13458,표예진 예쁜건 왜 언급 없지?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 겁나 찰떡...............
13459,안이뿜
13460,남녀갈등/여가부/여야 등 갈등이 없는 가국 유튜브검색 &#39; 로스왕국 &#39; <br>구독=시민권입니다. .. ..
13461,"@Qwer qwer 하긴 니기빠는 진자림, 쏘대장은 상대도 안되니ㅋㅋ"
13462,대댓글들 사사건건 불만들이시네
13463,@1 343 사사건건 극혐다는 극혐충도 별로
13464,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=15m31s"">15:31</a>  내가 도와줄까"
13465,저렇게 효자하는 새끼들은 좀 처맞아야함
13466,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=12m18s"">12:18</a>   대마가 걸려버렸네 대마가 잡혔어요"
13467,이 영상이 현실과 괴리감이 크다는 게 너무 슬프네
13468,이거 보면서 재밌네 사이다네 하는 학생들은 스스로 돌아보면서 내가 정의의 편이 아니라 가해자 혹은 그런 가해자를 방관하는 사람은 아닌지 생각해봤으면 좋겠습니다.
13469,승태 머리 스탈 이름 머에영
13470,와 이 드라마 ㅇㄴㅇ 나간게 신의한수임
13471,왜 저런 역할을 준 거야ㅠㅜㅠㅜㅠㅜㅠㅠㅜ 연기를 잘해도 저렇게 패배자로 남으면 내 마음이 너무 아프잖아ㅜㅠㅠㅠㅠㅠㅠㅠㅠㅜㅠㅜㅠㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅠㅠㅠㅜ
13472,남녀갈등/여가부/여야 등 갈등이 없는 가국 유튜브검색 &#39; 로스왕국 &#39; <br>구독=시민권입니다 . . ..
13473,이나은이 나올 수가 없었네 ㅋㅋ 나오는게 말이 안되는 내용...
13474,현욱오빠는 저런 표정 지어도 너무 멋있어ㅜㅠㅠㅠㅜㅠㅜㅜ성공하면 좋겠는데 나만 알고 싶은 배우야ㅜㅜㅠㅜㅠㅠㅜㅠㅜㅠㅜㅠㅠ
13475,요즘 꼭 챙겨보는 드라마임당 ^^
13476,모범택시 이런 택시 진짜 있음 좋겠다
13477,피해자라고 무작정 도움을 주는 것이 아니라 자신의 몫을 분명히 감당하게해 당당하고 스스로 살아가게 해주는.. 그런 마무리인거 같아 참 좋네요
13478,@내얼굴 예쁘면 구독눌러라 니 애미는..
13479,자세히보기를 누르지 마세요!<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>절대 제 닉네임을 보지 마세요!
13480,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=14m24s"">14:24</a> 조폭 연기 ㅋㅋㅋ"
13481,제훈이 잘생겼다 잘했다❤️❤️
13482,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=0m05s"">0:05</a> 펜하를 많이봐서 그런지 배로나인줄 알았넹"
13483,사랑엔 나이도 없다는데 왜 처벌엔 있냐고~
13484,죽이네요
13485,우리 나은이가 메쏘드연기를 준비했는데...  아쉽네 ㅋㅋㅋ
13486,속이 뻥 뚫리네요ㅠㅠ 감사합니다.
13487,티비를 안보니까 이런드라마 하는지도 모르고 살다 유튜브 떠야 알게됨...<br>나만 세상에 동떨어져 사는건지ㅠ..ㅠ
13488,가해자한테 똑같이 대하는 드라마에 왕따 가해자가 나올뻔 했네 ㅋㅋㅋㅋㅋ
13489,ㅋㅋㅋㅋㅋㅋㅋ마지막 빵 줄때 하는말 제후니가 나은에게 하는 말같네ㅋㅋㅋ
13490,나도 부자 되서 장학 사업 해보고 싶네.
13491,이제훈 이번 컨셉 ㅈㄴ 잘잡음 개머시써
13492,남녀갈등/여가부/여야 등 갈등이 없는 가국 유튜브검색 &#39; 로스왕국 &#39; <br>구독=시민권입니다....
13493,학생을 발로 차?!! 와~ 인권유린이네 이거!!  애들 싸움에 어른이 끼어드나~!! 치사하게!!
13494,"섬네일 설민석인줄,...;;;"
13495,이제훈 코믹연기 넘 웃곀ㅋㅌㅋㅋㅋㅋㅋ
13496,이제훈개좋다..
13497,설정 어설픈건 좀 있지만.... 빈센조처럼 못 참을 정도로 억지는 아니라 드라마려니 넘어갈수 있을 정도...<br><br> 고구마 길지 않고.. 빠르고 복수하니 통쾌해서 보게됨..
13498,빈센조는 대체 어느 정도길래 이걸 넘어갈 수 있는거지 ㄷㄷ
13499,초등학교때 어리숙해서 셔틀 비슷하게 괴롭힘을 하도 당해서 중학교 올라가서 부터는 저런 셔틀 안될라고 쳐맞으면서도 엄청 싸웠는데..... 그러다보니 상대도 잘 건들지를 않았고~ 그러다보니 비슷하부류의 친구들이 다가왔고~ 수가 되니 더욱 건들지 않았는데~ 지금도 그때도 생각하면 다른친구가 당할때 도와줄 겨를이 없었다는것이 미안했다~ 요즘 친구들은 더 할려나 덜 할려나 모르겠네~
13500,"실제로는 나라에서 청소년이란 이유로 가해자들을 보호해주고 심지어 학생기록부에도 범죄를 기록 하지 못하게 하고 있다. 이러한 이유로 피해자들은 학교심지어 경찰들도 외면하는게 현실이다.<br>청소년 무면허 교통사고 사망사건, 밀양 여중생 집단 강간사건, 청소년 마약,절도,미성년자 성매매  그들은 청소년이란 이유로 나라에서 소년법으로 보호해준다. 가해자들은 의사,경찰,연예인 하고 있을때 피해자들은 그날의 아픔을 잊지 못하고 있다. 그로인해 이런 드라마가 시청자들로 하여금 조금의 위안이 되는듯 하다."
13501,유치한데 재밌네
13502,저기학교 가고싶다
13503,이제훈선생님 인사하는거 느무 멎져
13504,"현재 학교폭력 피해자입니다.<br>매일 당해 너무 화나서 유튜브를 자주 보는데, 모범택시 너무 감사합니다. 가해자가 이 영상보고 찔렸으면 좋겠네요. 대한민국 법도 저렇게 만듭시다. 저처럼 너무 힘든 학생들이 많아요.<br><br>+ 모두 감사합니다. 덕분에 큰힘이 되었어요. 영상 올렸어요. 궁금하신것들 답변해봤습니다."
13505,@1 LL 그...그럼 반격하세요 그럼 쌍방되버림 경험담임
13506,나중에 유명인되면 바로 폭로하고 그사람 알바하면 사장님할때 말 ㄱㄱ
13507,@이게인생이냐 아이디값하세요 뭘참아요<br>소싯적 많이 조터지고다녀도 참고사셨나봄
13508,"@건곤이 딱 프사에 말투보니 곧 조터지고다닐 팔자네<br>늑엄이 그리교육하디 못나면 처.맞,는.거라고<br>딱 니보고하는얘기야"
13509,전 당하고 사는 님이 답답하고 화가나네요 한숨만 쉬는 선생놈들은 더 화나고
13510,나만마지막아저씨 악역으로만봐서그런가 맨날나쁜짓할것같냐
13511,이런 정직한 사람들의 역할을 이나은이 했으면 얼마나 많은 이질감이 들었을까요...양심이란게 있나 이런 역할을 할라고 했다는게
13512,김의성 왜나와
13513,빵 착취에 대해서 누가 좀 이야기 해주세요. 졸업한지 20년이 넘어서요
13514,웹툰 참교육  보는느낌?
13515,불쌍한사람 이대ㅓㅓㅓㆍ
13516,파수꾼에서 이제훈이 일진이었는데 여기서는 일진을 응징하다니 미묘한 기분이 든다ㅋㅋ 게다가 그 때 피해자 연기한 배우가 박정민ㅎㅎ
13517,피해자 이름은 박정민임?ㅋㅋㅋ
13518,시대 배경이 언제냐 ㅋㅋㅋ 무슨 플레이보이 잡지에 필름 사진이야
13519,개무서웤ㅋㅋㅋㅋㅋㅋㅋㅋ
13520,???:멈춰
13521,조폭연기 넘 국어책 ㅜ
13522,학교 가해자들이 왜이리 잘생겻냐
13523,최현욱 개잘생 진짜 하
13524,드라마 재밌네 그리고 현실반영 좋게 했네요. 근데 원작은 좀더 잔인하고 현실적임
13525,속이 뻥~!
13526,저런 싹수노란 고삘이 놈은 <br>어쩔 수 없다. <br>악의 씨앗은제거해야만 한다.
13527,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=20m33s"">20:33</a> 미스터선샤인 정주행중이라선지 지팡이 쓰면서 이북 말투로 욕할거같다..."
13528,하. 핵사이다네요 ㅋㅋㅋ
13529,HANDSOME LEE JE HOON♡♡♡
13530,덜렁거리시는거 넘 웃곀ㅎㅋㅎㅋㅎ
13531,드라마라도 시원해서 너무좋네요
13532,이제훈 배우님 진짜 연기 대박인듯...
13533,남녀갈등/여가부/여야 등 갈등이 없는 가국 유튜브검색 &#39; 로스왕국 &#39; <br>구독=시민권입니다.. ... .
13534,"그래서 공부를 해-야, 되누구나 게임이든 문학이든, 죽이되든 밥이되든 완-성 하도 락 앤 놂역(히메자굥)<br>⭐️✨🤩🌟💫"
13535,English subtitles please 🙏🙏🙏🙏😥
13536,근데 현실은 쟤네 없어진 다음 새로운 일진들이 다시 생긴다는거  드라마라도 사이다라서 시원하다
13537,하.. 답답하네. &#39;멈춰&#39; 했어야지.
13538,ㅋㅋ 썸넬 보면 누가 누굴 차는지 모르겠음
13539,속이 뻥~~  시원하다.
13540,얼마나 현실에서 정의구현이 없으면 이렇게 통쾌하냐
13541,남녀갈등/여가부/여야 등 갈등이 없는 가국 유튜브검색 &#39; 로스왕국 &#39; <br>구독=시민권입니다 .. .
13542,Stan Victon 🥺
13543,우쭈쭈 삐져떠요? 우쭈쭈
13544,ㅋㅋㅋㅋ 배경음악 너무 좋아 쌍8년도 느낌 나는 그거 ㅋㅋㅋㅋㅋㅋㅋㅋ
13545,멈춰!!!! 보다 나은듯. 그냥 이런거 틀어놓고 시청각자료라고 해라
13546,양육강식 먹이사슬 자연의 섭리죠 잡혀먹힐 먹이사슬 하위라도 살기위해 발버둥 칩니다 그렇기에 세상은 아름다운거죠 악은 근절안됩니다 그렇다고 포기해서는 안됩니다 계속 닥쳐오는악에 대항해야 합니다
13547,함무라비가 생각나네.. 눈에는 이에는 이다..
13548,능청능청하면서 제대로 갚아ㅋㅋㅋㅠㅠㅠㅠㅠ
13549,다들 시원해하네.. 나는 보면서도 저게 드라마에서나 가능하지 현실은 저렇지 않다는게 보여서 참 답답한데 ㅠ 현실에서도 시원한 참교육 같은 걸 볼 수 있으면 좋겠다. 기사로라도
13550,학생들 신사답게 행동해...그래도 학생들은 시대가 좋아서 미래를 볼 수 있지만 ...  라떼는말야 그런게 없어서 후회밖에 할 수가 없었거든..내가 저지른만큼 더큰 눈덩이가 되어서 돌아온다는것 요즘 티비서 자주보고 있지?그게 학생들의 미래가 되지않기를 바랄께...학생의 오늘이 머지않은 모습의 학생일테니 잘생각하고 신사답게 행동해...아니다...학생답게 행동해...아재도 아재답게 행동할테니....답게살자...답게...~~
13551,이제훈 배우님 시그널 때도 그렇고 캐릭터 흡입력 오진다 ......
13552,드라마라도 속은 시원하게 뻥 뚤리네<br>현실에도 이런분이 존재했음하는 간절한 마음...<br>있음 후원이라도 하겠음...진심...
13553,아 씨 재밌어
13554,اكو عرب دخلو المقطع بل غلطا زيي
13555,괴롭힘 당한 애들 집에 일진이 있었을때  고통이 일진집에 선생왔을때 일진들 심장쫄려한거에 만배는 되지않을까
13556,이제훈님! 흥하세요! 👍👍👍👍👍👍👍🙏👏👌
13557,"은초딩도 저랬는데. 여의도 국민학교 전학가 얼마 안됐을 때 지한테 고분고분하게 안군다고 놀이터로 불러내고. 선생이며 반애들이며 박정희 손자라고 엄청 떠받들어주면서 안하무인 지멋대로 굴어도 냅두고. 엄마가 세컨드여서 서출이란거에 엄청 예민해하며 지가 그따위 개싸가지로 굴어도 된다는 식. 담임선생이란 년은 학생이 수업시간에 기어나가던말던, 10분-15분씩 늦게 기어들어오던 말던 뭐라하기는커녕 되려 싸가지 더럽게 없는 애새끼 눈치보면서 촌지나 밝히고. <br>지금 좀 산답시고 학폭이며 왕따같은 가해하며 시건망 오지는 것들, 알고보면 걔들부모가 그모양그꼴이라 딱 지들같은 쓰레기 싸질러 놓은 결과임."
13558,드라마 안보는데 앞에 잘보다가 김의성 나오는 순간 진짜 꼴보기 싫어지네
13559,남자가봐도 존x멋있네.. 오글거리지도않고 ㅋㅋ
13560,ㅇㄴㅇ은 이거 연기하면서 뭔 생각했을까?ㅋㅋ 에휴 어이가 없네
13561,다 필요 없음<br><br>절대 다시 태어나지 않는 개종자들임<br><br>학폭 가해자들은 그냥 믹서기에 넣고 갈아버리는게 최선임
13562,웹툰을 봤는데 마니 순화됌ㅋㅋ  <br>드라마라서 그런지 순화가 마니됌
13563,촬영한 학교가 모교인걸 단번에 알아버렸다
13564,He is not your ordinary taxi driver :) i love this drama :)
13565,Proxy revenge-call fighter
13566,예찬아... 너 뭐야... 연이는 어쩌고 여기서 이러고 있어...
13567,"<a href=""https://www.youtube.com/watch?v=ITpaCz_SlN4&amp;t=19m05s"">19:05</a> 이제훈 학폭 가해자 참교육 <br> 왜이런일이 일어나는지 도무지 이해가 안돼고 너무 억울해서 화가나고 눈물이나면 그때마다 니가 괴롭혔던 친구들을 생각해<br>그동안 니가 친구들한테 준게 그거니까<br>속시원하다 멎있다"
13568,Mantap
13569,가해자도 똑같이 당해봐야 이게 잘못했구나를 안다.. 자기가 얼마나 잔인한 짓을 하는지
