,0
72301,저 사건 다시 재조사 해야합니다!!!!!
72302,소속 연예인이 사고 나거나 사망하면 소속사가 돈버는거네  그러니 스케줄 빡빡히 짜서  사고나길 바라겠구나  이거 완전 보험사기 아닌가  정말 소름끼친다  저 기획사  사장놈 이름이 뭐고 지금은 어디 기획사 차렸나요
72303,경찰 무능력 여기또있네
72304,너무한다 세상이 더럽고 치사하다……<br>연예인들 저런 일 많던데 제발 제발 스케쥴 좀 작작해라 돈 벌레들
72305,심진화 주위에 사람이 많은 이유를 알겠네.. 진국이네
72306,심진화씨 진짜 복받으셔야됩니다. 이런사람 진짜 잘되게 해야됩니다..
72307,소속사  진짜 양아치다.
72308,3명 중 다른 한 분도 문제 제기를 하신건가요~?ㅠ
72309,소속사 대표 얼굴좀 까라.......이름뭐예요 인터넷으로 찾아보게.....사기꾼 도둑넘 보험사하고 짠거네
72310,이게 지금 왜 뜨는데??<br>유튜브도 주작질이냐?
72311,소속기획사들 아직 저런짓거리를 하고 있을까?아무리 스케쥴도 중요하지만 목숨보다 중요 할까?제발 앞으로는 이런일 없길 바랄뿐입니다ᆞ그리고 심진화 언니 예쁜아기 생기셔서 앞으로 행복하고 좋은일만 가득했으면 좋겠습니다ᆞ
72312,"<a href=""https://www.youtube.com/watch?v=5xlPDyycgqY&amp;t=5m10s"">5:10</a> 운전하는 꼬라지 봐라"
72313,어디 소속사임... 이런 개자슥들..
72314,왜 대표이름 인터넷에쳐도 당시 연관기사가 하나도 없는걸까요
72315,아  너무 억울한 희생이고 이건 살인이나 마찬가지
72316,보험금 까지  너무한네  소속사
72317,형은아 좋은곳에갔니?<br>널생각하면 마음이너무나 아프다.<br>이쁘고똑똑했던 아이...
72318,이 영상 부모님이나 동료들이 보면 또 마음아프시겠다ㅠㅠ
72319,ㅋㅋㅋㅋㅋㅋㅋㅋ 근데 왜 한국연예인이 중국연예인보다 더 많이 자살할까
72320,기본적으로 매니저들 운행하면 기본 속도위반 아닌가??
72321,이런기획사어딘가요  그리고 뭔가를밝히겠다면  알리고싶으면  제발  실명똑바로좀합시다
72322,박승대 그똑 기획사인가요?
72323,연예 기획사 이시발새끼들
72324,진짜 ... 세상엔 왜이렇게 못되쳐먹은것들이 많을까 ...
72325,ㅋ 걍 이동하다가 사고나 죽어도 소속사 돈 버는거네!!!
72326,가망 보험금은 부모가 가져가야지 무슨 계약서로만 관계된 소속사가 가져감?? 도둑질 아님????
72327,그당시 소속사 어딘지 너무 궁긍 하네요
72328,쓸데없는 경찰들 좀 줄여야된다.
72329,예나  지금이나 나쁜인간들이 더 잘 살고 경찰의 초동수사도 똑 같네 심진화씨 큰 용기 내주셔서 진심 감사합니다
72330,소속사가 깡패였네..보험금을 왜 지들이 받아가
72331,사망보험금이 직계가족한테 가야지 왜 피도 안섞인 사람한테 가는거지
72332,심진화씨 힘내세요.<br>그 사고 후 잊고 지냈지만 그런 슬픔을 지니고 있다니 개인적으로 위로하고 존경합니다.<br>김원효씨도 존경합니다.
72333,소속사가 일부러죽인거네 보험금타먹으려고
72334,어머니 우시는 모습 너무 안타깝네요..보험금까지 받고는 왜 합의금도 제대로 안주는지 사망보험금에 위로금까지 주지는 못할망정
72335,역시 심진화 좋은사람임이 분명하네요.<br>형은씨 부모님 병원비도 내주고 그랬다는 이야기도 들은것 같아요. 좋은일 많이 하니 복받아서  잘된것 같네요. 앞으로 더더 승승장구~2세 복까지 찾아오기를 <br>바랄께요.
72336,사람을.이용해서.자기.이익.챙기는.놈들이 제일.나쁜놈임. 쓰레기중에.킹쓰레기. 이런놈들은.화를 입어서.불타버려야지.
72337,아직도 현실이 아닌것 같다
72338,저때는이 아니고 아직도 저런다고...한국 연예인들은 30년 전 아직도 쌤쌤 쓰레기 소굴...
72339,추정속도는 쉽게 나올듯 하네요 출발지에서 사고지점의 거리를 측정하고 그 구간에 국도가 끼어있다면 최소한 고속도로를 이용했으면 톨게이트 통과시점에서 사고시간대를 확인하면 될듯 하네요 안봐도 시속 200은 넘었을듯 하네요
72340,소속사 대표가 누구죠??
72341,Increase online sales of your product on Instagram. This app only costs $3.
72342,산지1년도 안 된 새차라는데 타이어가 다 닳고 없네..ㄷㄷ
72343,무리한 스케쥴? ㅈ까고 있네. 예쁜 말로 포장하면 감춰지냐?  어디서 눈가리고 아웅이야. 죽음에 상황까지 몰아간거 아냐. 살인자 집단이지.
72344,부모님 우시는거 너무 마음이 아프네 …..
72345,와~~의리 짱 멋진  심진화님   최고~~^^♡♡♡이거짓이   난무한 시대에  당신은  희망  입니다~~^^멋져요~~^^♡♡♡
72346,참 개자식들이네 😠<br>너희가 잘된다면 그게 이상한소리<br>절대 용서할수없네 😠
72347,근데 저분  언제 고인이되신거지?
72348,회사에서 상당부분 책임을 져줄 부분인 것 같다.
72349,형은양이 엄마를 쏙 빼닮았네요.<br>명복을 빕니다.
72350,옛날꺼인데 조회수높네용ㄷㄷ
72351,살인적인  스케즐    잡은  거  자체가   미친  짓이네요.
72352,사람의 귀한 목숨이 어찌 값어치로 환산될 수 있겠는가 <br>천벌을 받을 것들
72353,저런놈들 찾아내서 얼굴 신상 모든걸 공개하는법을 제정해야대요<br>정부가 모하는정부야 대체 세금만 뜯어가는 정부야 이거 정말 에라
72354,바보세요? 법은 국회에서 통과됩니다<br>정부 국회 사법 역할이 다릅니다
72355,아 씨발 진짜 .. 부모님 뵈니까 더 짜증난다 .... 개새끼들 진짜 ...고인이 진짜 얼마나 가슴이 아플까 어휴 진짜..
72356,이거 제대로 처리 됬나요?
72357,사망보험 수익자가 기획사라<br>그래서 죽어라 돌린거군. 아니 제발 교통사고 나서 죽어라 한건가?
72358,기획사 대표들이 사기꾼이 많은가 보네... 한번사기꾼은 평생사기꾼인데
72359,누구지 처음 보는 우먼 같기도 하고
72360,심진화님 볼수록 참 좋은사람이다!
72361,보험금을 소속사가 가져 가는 이런 구조.<br>참.<br>스레기
72362,근데 이거 갑자기 왜떠요?
72363,저런 인간은 신상 프린트해서 뿌려버려요...얼굴 못들고 다니게.....
72364,아무도 모를일이<br>누가 <br>어떻게  <br>될지 모르지만<br>순간의 실수가<br>순간  잘못되면 <br>이렇게 <br>생과 사를 가르게 되네요.
72365,심진화다리만<br>다침
72366,근데 심진화가 마음이 정말 착하다.... <br>근데 말하는입매가많이이뻐졌네요
72367,미녀삼총사여3명<br>교통사고이후에<br>심진화아직도<br>형은이를잊지못한다고
72368,"회사 사장놈이 아주 나쁘네. 연예인들으루보험에 가입시켜 놓고 사망보험은 자기네가 받게 만들어놓은 것 자체가 사기꾼 내지는 파혐치범의 생각이고, 그랬기 때문에 사람이 죽을 수도 있는 속도인 200Km 이상으로 달리게 종용하지 않았나 싶다. 사람이 죽으면 더 큰 돈을 버는 것 아닌가. 개새끼!!!"
72369,엄마랑 똑같음  근데 마음이 더 고우신 분 같 네
72370,진실은 당사자와 기자들만 알겠네?<br>난 더 이상이 학교 교육과 언론을 믿지 않는다.<br>나의 평화를 흔들지 말라.
72371,소속샤 괘색이네.. 사고 쳐 내게 해놓고 아무렇지 않은듯.뻔뻔하게
72372,"소속사가王,甲이다."
72373,"­    <br>™/) /)<br>  ( .  .)  ┏─┓♪<br>c( つ〓┫꽝┃ <br> /＼─  ┗─┛＼＼<br>│ ⌒켁!! ⌒  │ <br>│=＠ 。 ●=│<br>└(&quot;┭υυ┮&quot;)  ~  아니 거길 왜 가? 7 : 57 더 봐야 하나....이거! 참! 열 받네!"
72374,결과적으로 교통사고 조사를 게을리 하거나 업무태만한 경찰은 두번째 가해자 입니다 아마 뒷돈도 받았을 가능성도 조사해야 합니다 울화통이 터지고 욕이 나오네요 우리나라 경찰 도대체 왜 이럽니까? 당신들은 사람 입니까?
72375,잡일은 겁나 잡음 쉬운건 조사할때도 꼼꼼하게 말하면 한숨쉬고 인상찌뿌림 모든 경찰관분들은아닙니다만 어이없음
72376,소속사인간들  페기물세키들
72377,세상에나  세상 인심 좀 보소  사망 보험금을 소속사가 가져 갔다고요 ?? 무서운 세상
72378,"여러 행사장에서 쉴틈없이 일하게 해놓고, 월급은 달랑 30만원... 지원은 차나 매니저 등 있었겠지만, 화장도 본인이 하고 모든것을 케어해주지는 않음ㅋㅋㅋㅋㅋ 그리고 너무 행사를 막잡다보니 시간약속을 지키기위해 과속으로 200넘게 밟아서 가다 사고가 나고 한 생명이 죽음. 그럼 적어도 사망보험금은 가족한테 다 줘야하는거 아니야? 행사를 그렇게 굴렸으면 매니저랑 차, 보험금 등 제외하고도 많은 이득 봤을텐데... 소속연예인이 30인데 매니저도 인건비 거의 비슷하겠지 열정페이... 아니ㅋㅋㅋㅋ 걸그룹이야 대형 제외하고는 연습생 시절부터 트레이닝비용, 연습실, 숙소 등등의 비용이 빚이니까 이해가 되지, 개그우먼들은 연습생이랄것이 없는데도 말이 안됨. 진짜."
72379,어떤 기획사 대표인지 천벌받아라<br>심진화님 신인데도 용기내서 말씀해주시고<br>참 감사하네요
72380,심진화 이쁘구나...
72381,저당시 연예인이 본인얼굴까고 저러기 진짜 쉽지않았을텐데..<br>대단하시네요~<br>근데 그소속사어디인지 까발려주세요~<br>김효원씨와 둘이 진짜 잘 어울립니다.
72382,와~~소속사~~양X치네~!!
